propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,distance,hasVideo,status,newDevelopment,hasLift,priceByArea,detailedType,suggestedTexts,hasPlan,has3DTour,has360,hasStaging,topNewDevelopment,parkingSpace,newDevelopmentFinished
94450952,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/e9/a2/c9/889195953.jpg,7E239E5D,7,,940000.0,chalet,sale,342.0,False,4,8,Calle de Álvaro Cunqueiro,Madrid,Madrid,Fuencarral,es,Peñagrande,40.4788501,-3.7297808,False,https://www.idealista.com/inmueble/94450952/,7558,False,good,False,,2749.0,"{'typology': 'chalet', 'subTypology': 'independantHouse'}","{'subtitle': 'Peñagrande, Madrid', 'title': 'Casa independiente en Calle de Álvaro Cunqueiro'}",False,False,False,False,False,,
94450938,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ca/de/0c/889195688.jpg,A/A437,16,3,398000.0,flat,sale,69.0,True,2,2,Calle de la Virtudes,Madrid,Madrid,Chamberí,es,Almagro,40.4382221,-3.6997474,False,https://www.idealista.com/inmueble/94450938/,2621,False,good,False,True,5768.0,{'typology': 'flat'},"{'subtitle': 'Almagro, Madrid', 'title': 'Piso en Calle de la Virtudes'}",False,False,False,False,False,,
94450890,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/8f/4e/dc/889195061.jpg,vm2-VILLALOBOS,28,bj,115000.0,flat,sale,62.0,True,2,1,VILLALOBOS,Madrid,Madrid,Puente de Vallecas,es,Palomeras sureste,40.3798203,-3.6495277,False,https://www.idealista.com/inmueble/94450890/,5792,True,good,False,False,1855.0,{'typology': 'flat'},"{'subtitle': 'Palomeras sureste, Madrid', 'title': 'Piso en VILLALOBOS'}",True,False,False,False,False,,
94450869,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/22/13/e6/889194622.jpg,PIS0041,22,2,1599000.0,flat,sale,210.0,True,3,3,barrio Almagro,Madrid,Madrid,Chamberí,es,Almagro,40.4381526,-3.6910992,False,https://www.idealista.com/inmueble/94450869/,2729,False,good,False,True,7614.0,{'typology': 'flat'},"{'subtitle': 'Almagro, Madrid', 'title': 'Piso'}",False,False,False,False,False,,
94450765,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/27/66/ed/889193432.jpg,vm2-mh,25,5,140000.0,flat,sale,81.0,True,2,1,AV MIGUEL HERNANDEZ,Madrid,Madrid,Puente de Vallecas,es,Palomeras sureste,40.385124,-3.6392129,False,https://www.idealista.com/inmueble/94450765/,6133,True,good,False,True,1728.0,{'typology': 'flat'},"{'subtitle': 'Palomeras sureste, Madrid', 'title': 'Piso en AV MIGUEL HERNANDEZ'}",False,False,False,False,False,,
94450410,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/48/f7/59/889182079.jpg,,26,3,169000.0,flat,sale,83.0,True,3,2,Calle Alcaudón,Madrid,Madrid,Carabanchel,es,San Isidro,40.3981902,-3.7303025,False,https://www.idealista.com/inmueble/94450410/,3123,True,good,False,False,2036.0,{'typology': 'flat'},"{'subtitle': 'San Isidro, Madrid', 'title': 'Piso en Calle Alcaudón'}",True,False,False,False,False,,
94450727,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/19/93/ec/889349308.jpg,0619,20,8,469500.0,flat,sale,131.0,True,3,2,Plaza Castilla,Madrid,Madrid,Tetuán,es,Ventilla-Almenara,40.4679598,-3.6892289,False,https://www.idealista.com/inmueble/94450727/,6002,False,good,False,True,3584.0,{'typology': 'flat'},"{'subtitle': 'Ventilla-Almenara, Madrid', 'title': 'Piso en Plaza Castilla'}",False,False,False,False,False,,
94450614,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/bc/95/21/889186970.jpg,,36,,1025000.0,chalet,sale,300.0,False,4,4,Calle cerro de los alamos blancos,Madrid,Madrid,Fuencarral,es,Arroyo del Fresno,40.4880201,-3.7265021,False,https://www.idealista.com/inmueble/94450614/,8451,False,good,False,,3417.0,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}","{'subtitle': 'Arroyo del Fresno, Madrid', 'title': 'Chalet adosado en Calle cerro de los alamos blancos'}",True,False,False,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",
94450553,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/88/8f/53/889185744.jpg,Linneo,20,1,310000.0,flat,sale,131.0,True,4,2,Calle de Linneo,Madrid,Madrid,Arganzuela,es,Imperial,40.4092797,-3.720258,False,https://www.idealista.com/inmueble/94450553/,1784,False,renew,False,True,2366.0,{'typology': 'flat'},"{'subtitle': 'Imperial, Madrid', 'title': 'Piso en Calle de Linneo'}",False,False,False,False,False,,
94450572,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/5c/f7/5e/889532335.jpg,es163481,26,1,595000.0,flat,sale,74.0,True,2,1,Calle de Castelló,Madrid,Madrid,Barrio de Salamanca,es,Castellana,40.4368259,-3.6790899,False,https://www.idealista.com/inmueble/94450572/,3055,False,good,False,True,8041.0,{'typology': 'flat'},"{'subtitle': 'Castellana, Madrid', 'title': 'Piso en Calle de Castelló'}",True,False,False,False,False,,
93493114,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/bf/2f/69/889002590.jpg,3248-19565,8,2,515000.0,flat,sale,110.0,True,3,1,Calle de Meléndez Valdés,Madrid,Madrid,Chamberí,es,Arapiles,40.4320658,-3.7091556,False,https://www.idealista.com/inmueble/93493114/,2073,False,renew,False,True,4682.0,{'typology': 'flat'},"{'subtitle': 'Arapiles, Madrid', 'title': 'Piso en Calle de Meléndez Valdés'}",False,False,False,False,False,,
85224784,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ed/b0/83/657467393.jpg,2498,43,,2475000.0,chalet,sale,661.0,False,5,8,barrio Ciudad Universitaria,Madrid,Madrid,Moncloa,es,Ciudad Universitaria,40.4603183,-3.7284324,False,https://www.idealista.com/inmueble/85224784/,5604,False,good,False,,3744.0,"{'typology': 'chalet', 'subTypology': 'independantHouse'}","{'subtitle': 'Ciudad Universitaria, Madrid', 'title': 'Casa independiente'}",True,False,False,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",
94450497,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/7d/a5/aa/889184993.jpg,RP17202186055,21,1,142000.0,flat,sale,95.0,True,3,2,Calle Cooperativa Eléctrica,Madrid,Madrid,Puente de Vallecas,es,Entrevías,40.3737697,-3.6564909,False,https://www.idealista.com/inmueble/94450497/,5872,False,good,False,False,1495.0,{'typology': 'flat'},"{'subtitle': 'Entrevías, Madrid', 'title': 'Piso en Calle Cooperativa Eléctrica'}",False,False,False,False,False,,
94450487,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/17/6c/4c/889183901.jpg,10007248*,34,,487900.0,flat,sale,89.0,False,2,1,Calle del Duque de Sesto,Madrid,Madrid,Barrio de Salamanca,es,Goya,40.4239535,-3.6776088,False,https://www.idealista.com/inmueble/94450487/,2189,False,good,False,True,5482.0,{'typology': 'flat'},"{'subtitle': 'Goya, Madrid', 'title': 'Piso en Calle del Duque de Sesto'}",True,False,True,False,False,,
85226120,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/8c/f8/10/657492177.jpg,1476,56,,4900000.0,chalet,sale,1259.0,False,7,8,barrio Valdemarín,Madrid,Madrid,Moncloa,es,Valdemarín,40.4692086,-3.7781664,False,https://www.idealista.com/inmueble/85226120/,8950,False,good,False,,3892.0,"{'typology': 'chalet', 'subTypology': 'independantHouse'}","{'subtitle': 'Valdemarín, Madrid', 'title': 'Casa independiente'}",True,False,False,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",
91569706,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b5/aa/7e/817770139.jpg,,33,en,195000.0,flat,sale,89.0,True,3,2,barrio Casco Histórico de Vallecas,Madrid,Madrid,Villa de Vallecas,es,Casco Histórico de Vallecas,40.3743513,-3.6186158,False,https://www.idealista.com/inmueble/91569706/,8248,False,good,False,True,2191.0,{'typology': 'flat'},"{'subtitle': 'Casco Histórico de Vallecas, Madrid', 'title': 'Piso'}",False,False,False,False,False,,
94450101,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b7/69/a7/889174939.jpg,,21,1,249000.0,flat,sale,90.0,True,3,1,Calle de Embajadores,Madrid,Madrid,Arganzuela,es,Chopera,40.3968936,-3.6964339,False,https://www.idealista.com/inmueble/94450101/,2002,False,renew,False,True,2767.0,{'typology': 'flat'},"{'subtitle': 'Chopera, Madrid', 'title': 'Piso en Calle de Embajadores'}",True,False,False,False,False,,
